Title,Rating,Year,Poster
Dune,6.3,1984,https://m.media-amazon.com/images/M/MV5BMGJlMGM3NDAtOWNhMy00MWExLWI2MzEtMDQ0ZDIzZDY5ZmQ2XkEyXkFqcGc@._V1_SX300.jpg
Inception,8.8,2010,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg
Everywhere,4.9,2010,https://m.media-amazon.com/images/M/MV5BZDMwZmIwYmMtZmM4Mi00YTE2LTllMTEtYzkwODQxNGZkNTUxXkEyXkFqcGdeQXVyNTA1NDY3NzY@._V1_SX300.jpg
Matrix,7.6,1993,https://m.media-amazon.com/images/M/MV5BM2JiZjU1NmQtNjg1Ni00NjA3LTk2MjMtNjYxMTgxODY0NjRhXkEyXkFqcGc@._V1_SX300.jpg
Arrival,7.9,2016,https://m.media-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1_SX300.jpg
Predator,7.8,1987,https://m.media-amazon.com/images/M/MV5BOWEzMDI0MTUtMjQ0Yy00MGRhLWI4YjAtZTgzZTM3NTYxZGJkXkEyXkFqcGc@._V1_SX300.jpg
Alien,8.5,1979,https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_SX300.jpg
Alien 2: On Earth,3.7,1980,https://m.media-amazon.com/images/M/MV5BZmMzMjc4MWMtNDc4MC00YmRiLWE2NTQtODc1N2NhZjIzY2Y1XkEyXkFqcGc@._V1_SX300.jpg
Collateral,7.5,2004,https://m.media-amazon.com/images/M/MV5BMjE3NjM5OTMxMV5BMl5BanBnXkFtZTcwOTIzMTQyMw@@._V1_SX300.jpg
Good Will Hunting,8.3,1997,https://m.media-amazon.com/images/M/MV5BNDdjZGQ5YzEtNTc2My00Mjc0LWFlMTctYzkwMzZlNzdiZWYzXkEyXkFqcGc@._V1_SX300.jpg
Apocalypse Now,8.4,1979,https://m.media-amazon.com/images/M/MV5BZDhiMTljYjYtODc1Yy00MmEwLTg2OTYtYmE1YTRmNDE4MmEwXkEyXkFqcGc@._V1_SX300.jpg
